Name,Platform,Year,EU_JP_Sales
Grand Theft Auto,PS,1997.0,1.3900000000000001
Grand Theft Auto 2,PS,1998.0,2.07
"Grand Theft Auto: Mission Pack #1, London 1969",PS,1998.0,0.04
Grand Theft Auto III,PS2,2001.0,4.81
Grand Theft Auto: Vice City,PS2,2002.0,5.96
Grand Theft Auto III,PC,2002.0,0.01
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003.0,0.56
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003.0,0.66
Grand Theft Auto: Vice City,PC,2003.0,0.03
Grand Theft Auto: San Andreas,PS2,2004.0,0.81
Grand Theft Auto,GBA,2004.0,0.06
Grand Theft Auto: Liberty City Stories,PSP,2005.0,3.0700000000000003
Grand Theft Auto: San Andreas,XB,2005.0,0.61
Grand Theft Auto: San Andreas,PC,2005.0,0.92
Grand Theft Auto: Vice City Stories,PSP,2006.0,2.18
Grand Theft Auto: Liberty City Stories,PS2,2006.0,1.47
Grand Theft Auto: Vice City Stories,PS2,2007.0,0.06
Grand Theft Auto IV,X360,2008.0,3.24
Grand Theft Auto IV,PS3,2008.0,4.2
Grand Theft Auto: San Andreas,X360,2008.0,0.03
Grand Theft Auto IV,PC,2008.0,0.79
Grand Theft Auto: Chinatown Wars,DS,2009.0,0.62
Grand Theft Auto: Chinatown Wars,PSP,2009.0,0.53
Grand Theft Auto V,X360,2013.0,5.369999999999999
Grand Theft Auto V,PS3,2013.0,10.24
Grand Theft Auto V,PS4,2014.0,6.17
Grand Theft Auto V,XOne,2014.0,2.01
Grand Theft Auto V,PC,2015.0,0.64
